age,hero,points,date,new,event
Adult,"Katsu, the Wanderer",100,2021-07-29,,
Adult,"Dash, Inventor Extraordinaire",40,2021-07-29,,
Adult,Dorinthea Ironsong,40,2021-07-29,,
Adult,"Azalea, Ace in the Hole",0,2021-07-29,,
Adult,"Ser Boltyn, Breaker of Dawn",0,2021-07-29,,
Adult,"Bravo, Showstopper",0,2021-07-29,,
Adult,"Chane, Bound by Shadow",0,2021-07-29,,
Adult,"Kano, Dracai of Aether",0,2021-07-29,,
Adult,"Levia, Shadowborn Abomination",0,2021-07-29,,
Adult,"Prism, Sculptor of Arc Light",0,2021-07-29,,
Adult,"Rhinar, Reckless Rampage",0,2021-07-29,,
Adult,"Viserai, Rune Blood",0,2021-07-29,,
Adult,"Azalea, Ace in the Hole",0,2021-09-15,,
Adult,"Ser Boltyn, Breaker of Dawn",120,2021-09-15,,
Adult,"Bravo, Showstopper",108,2021-09-15,,
Adult,"Chane, Bound by Shadow",402,2021-09-15,,
Adult,"Dash, Inventor Extraordinaire",100,2021-09-15,,
Adult,Dorinthea Ironsong,118,2021-09-15,,
Adult,"Kano, Dracai of Aether",6,2021-09-15,,
Adult,"Katsu, the Wanderer",274,2021-09-15,,
Adult,"Levia, Shadowborn Abomination",0,2021-09-15,,
Adult,"Prism, Sculptor of Arc Light",172,2021-09-15,,
Adult,"Rhinar, Reckless Rampage",24,2021-09-15,,
Adult,"Viserai, Rune Blood",12,2021-09-15,,
Adult,"Azalea, Ace in the Hole",0,2021-12-14,,
Adult,"Ser Boltyn, Breaker of Dawn",140,2021-12-14,,
Adult,"Bravo, Showstopper",148,2021-12-14,,
Adult,"Chane, Bound by Shadow",442,2021-12-14,,
Adult,"Dash, Inventor Extraordinaire",120,2021-12-14,,
Adult,Dorinthea Ironsong,138,2021-12-14,,
Adult,"Kano, Dracai of Aether",26,2021-12-14,,
Adult,"Katsu, the Wanderer",294,2021-12-14,,
Adult,"Levia, Shadowborn Abomination",0,2021-12-14,,
Adult,"Prism, Sculptor of Arc Light",172,2021-12-14,,
Adult,"Rhinar, Reckless Rampage",24,2021-12-14,,
Adult,"Viserai, Rune Blood",12,2021-12-14,,
Adult,"Briar, Warden of Thorns",400,2021-12-14,NEW,
